team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
DAL,2008,365,4709,30,38,6,74,22,1,185,14,0,0,0,0
DEN,2008,448,5993,46,32,3,52,13,1,168,21,0,0,0,0
DET,2008,517,6470,56,25,4,59,20,1,179,14,0,0,0,0
GB,2008,380,5349,42,25,5,76,28,3,192,13,0,0,0,0
HOU,2008,394,5385,42,25,4,67,22,1,175,14,0,0,0,0
IND,2008,298,4975,24,33,5,53,26,1,153,11,0,0,0,1
JAX,2008,367,5295,39,27,3,67,17,0,170,17,0,0,0,0
KC,2008,440,6291,46,33,3,50,29,0,181,20,0,0,0,0
LV,2008,388,5775,43,23,8,74,24,1,192,19,0,0,0,0
LAC,2008,347,5599,36,24,7,60,24,3,169,15,0,0,0,1
LAR,2008,465,5950,46,31,1,67,26,0,185,14,0,0,0,0
MIA,2008,317,5264,29,29,3,61,30,1,165,12,0,0,0,1
MIN,2008,333,4679,25,26,10,80,25,1,191,24,0,0,0,1
NE,2008,309,4944,35,17,4,75,22,0,170,17,0,0,0,0
NO,2008,393,5432,35,34,5,66,22,1,174,11,0,0,0,0
NYG,2008,294,4672,31,19,7,76,22,0,173,18,0,0,0,1
NYJ,2008,356,5270,33,25,3,69,30,0,177,17,0,0,0,0
PHI,2008,289,4389,26,24,4,101,29,1,198,13,0,0,0,1
PIT,2008,223,3795,19,24,3,91,29,2,188,20,0,0,0,1
SF,2008,381,5216,36,35,7,72,18,2,184,14,0,0,0,0
SEA,2008,392,6048,38,37,4,68,20,0,187,20,0,0,0,0
TB,2008,323,4898,31,28,2,81,30,0,192,20,0,0,0,0
TEN,2008,234,4698,24,20,10,87,31,0,194,22,0,0,0,1
WAS,2008,296,4621,28,24,4,87,18,0,176,15,0,0,0,0
ARI,2009,325,5543,35,19,6,84,29,1,196,22,0,0,0,1
ATL,2009,325,5582,35,20,8,62,28,0,171,18,0,0,0,0
BAL,2009,261,4808,25,24,3,79,32,0,186,23,0,0,0,1
BUF,2009,326,5449,33,22,6,78,33,1,192,19,0,0,0,0
CAR,2009,308,5053,29,19,8,74,37,0,181,14,0,0,0,0
CHI,2009,375,5404,43,25,8,71,28,0,193,18,0,0,0,0
CIN,2009,291,4822,30,23,6,83,25,0,185,18,0,0,0,1
CLE,2009,375,6229,37,30,6,77,19,0,186,17,0,0,0,0
DAL,2009,250,5054,26,18,8,92,21,0,181,16,0,0,0,1
DEN,2009,324,5040,29,29,2,76,30,0,185,19,0,0,0,0
DET,2009,494,6274,53,31,3,66,23,1,192,15,0,0,0,0
GB,2009,297,4551,34,13,4,74,40,3,186,18,0,0,0,1
HOU,2009,333,5198,36,20,3,76,27,0,182,20,0,0,0,0
IND,2009,307,5427,29,30,6,65,26,0,179,23,0,0,0,1
JAX,2009,380,5637,40,24,4,62,25,1,168,12,0,0,0,0
KC,2009,424,6211,43,29,8,79,28,1,201,13,0,0,0,0
LV,2009,379,5791,40,30,10,77,20,1,193,15,0,0,0,0
LAC,2009,320,5232,33,25,4,63,25,0,168,18,0,0,0,1
LAR,2009,436,5965,46,19,3,75,20,1,184,20,0,0,0,0
MIA,2009,390,5589,39,33,6,67,21,0,186,20,0,0,0,0
MIN,2009,312,4888,31,22,4,89,24,0,188,18,0,0,0,1
NE,2009,285,5123,31,14,6,79,28,0,179,21,0,0,0,1
NO,2009,341,5724,34,27,5,71,39,1,194,17,0,0,0,1
NYG,2009,427,5198,52,18,3,72,24,0,182,13,0,0,0,0
NYJ,2009,236,4037,19,19,4,99,31,0,187,15,0,0,0,1
PHI,2009,337,5137,38,21,3,80,38,0,197,17,0,0,0,1
PIT,2009,324,4885,29,22,7,86,22,0,178,12,0,0,0,0
SF,2009,281,5222,26,29,5,95,33,0,206,18,0,0,0,0
SEA,2009,390,5703,44,22,9,82,23,0,196,16,0,0,0,0
TB,2009,400,5849,44,26,6,72,29,1,190,12,0,0,0,0
TEN,2009,402,5850,47,22,5,76,27,0,190,13,0,0,0,0
WAS,2009,336,5115,29,31,5,70,17,2,178,24,0,0,0,0
ARI,2010,434,5977,41,40,11,64,30,0,204,18,0,0,0,0
ATL,2010,288,5319,32,15,8,73,31,0,180,21,0,0,0,1
BAL,2010,270,5102,27,27,5,89,27,0,185,10,0,0,0,1
BUF,2010,425,5786,46,29,10,71,22,0,191,13,0,0,0,0
CAR,2010,408,5374,39,29,3,76,29,0,196,20,0,0,0,0
CHI,2010,286,5029,28,21,6,88,35,0,196,18,0,0,0,1
CIN,2010,395,5312,36,28,5,76,26,0,182,11,0,0,0,0
CLE,2010,332,5601,33,27,9,64,28,0,176,15,0,0,0,0
DAL,2010,436,5628,44,25,2,70,30,0,188,17,0,0,0,0
DEN,2010,471,6253,52,29,7,73,18,0,199,20,0,0,0,0
DET,2010,369,5497,41,19,1,83,29,0,192,19,0,0,0,0
GB,2010,240,4945,22,24,5,78,32,0,182,21,0,0,0,1
HOU,2010,427,6031,49,21,6,67,18,0,174,13,0,0,0,0
IND,2010,388,5465,36,31,5,67,21,0,181,21,0,0,0,1
JAX,2010,419,5949,47,23,2,64,18,0,174,20,0,0,0,0
KC,2010,326,5283,34,20,4,89,23,0,192,22,0,0,0,1
LV,2010,371,5165,43,21,7,94,24,0,205,16,0,0,0,0
LAC,2010,322,4345,32,16,0,81,23,0,184,32,0,0,0,0
LAR,2010,328,5388,28,35,3,82,26,0,191,17,0,0,0,0
MIA,2010,333,4949,30,27,4,77,19,0,181,24,0,0,0,0
MIN,2010,348,5002,35,18,5,85,26,0,184,15,0,0,0,0
NE,2010,313,5864,35,19,7,58,38,0,176,19,0,0,0,1
NO,2010,307,4900,26,28,6,67,25,0,173,21,0,0,0,1
NYG,2010,347,4990,35,23,4,86,39,0,202,15,0,0,0,0
NYJ,2010,304,4664,35,18,5,97,30,0,201,16,0,0,0,1
PHI,2010,377,5235,43,18,3,82,34,0,194,14,0,0,0,1
PIT,2010,232,4429,20,26,4,81,35,0,179,13,0,0,0,1
SF,2010,346,5244,34,28,5,84,22,0,195,22,0,0,0,0
SEA,2010,407,5897,44,25,5,81,22,0,192,15,0,0,0,1
TB,2010,318,5323,35,17,4,72,28,0,177,21,0,0,0,0
TEN,2010,339,5883,30,39,9,61,25,0,183,19,0,0,0,0
WAS,2010,377,6228,38,28,10,86,27,0,203,14,0,0,0,0
ARI,2011,348,5682,32,35,13,92,19,3,204,10,0,0,0,0
ATL,2011,350,5338,35,23,5,75,29,1,180,12,0,0,0,1
BAL,2011,266,4622,21,28,3,86,26,0,188,24,0,0,0,1
BUF,2011,434,5938,49,21,4,68,31,0,189,16,0,0,0,0
CAR,2011,429,6042,46,27,4,52,24,0,171,18,0,0,0,0
CHI,2011,341,5607,32,30,6,85,31,1,203,18,0,0,0,0
CIN,2011,323,5060,35,22,5,98,22,0,200,18,0,0,0,1
CLE,2011,307,5318,28,30,4,76,20,0,174,16,0,0,0,0
DAL,2011,347,5491,34,26,7,72,25,1,180,15,0,0,0,0
DEN,2011,390,5725,35,32,7,92,18,1,206,21,0,0,0,1
DET,2011,387,5881,36,30,4,78,34,1,204,21,0,0,0,1
GB,2011,359,6585,39,22,5,58,38,2,183,19,0,0,0,1
HOU,2011,278,4571,26,30,6,83,27,0,188,16,0,0,0,1
IND,2011,430,5935,44,29,5,74,17,0,186,17,0,0,0,0
JAX,2011,329,5008,35,22,7,89,28,2,195,11,1,0,0,0
KC,2011,338,5333,37,23,5,83,26,1,188,13,0,0,0,0
LV,2011,433,6201,46,21,8,68,26,0,188,19,0,0,0,0
LAC,2011,377,5546,37,25,3,60,21,0,170,24,0,0,0,0
LAR,2011,407,5734,38,31,6,81,18,0,192,16,2,0,0,0
MIA,2011,313,5522,32,26,7,95,19,2,195,12,2,0,0,0
MIN,2011,449,5731,44,32,3,67,23,1,185,15,0,0,0,0
NE,2011,342,6577,39,20,3,67,34,2,181,16,0,0,0,1
NO,2011,339,5895,35,27,5,71,16,0,182,28,0,0,0,1
